Timestamp sec,Timestamp nanosec,Entry_point x,Entry_point y,Entry_point z,Aurora x,Aurora y,Aurora z,Aurora qw,Aurora qx,Aurora qy,Aurora qz,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,J00,J01,J02,J03,J04,J05,J06,J10,J11,J12,J13,J14,J15,J16,J20,J21,J22,J23,J24,J25,J26,J30,J31,J32,J33,J34,J35,J36,J40,J41,J42,J43,J44,J45,J46,J50,J51,J52,J53,J54,J55,J56,J60,J61,J62,J63,J64,J65,J66,Control_x,Control_z
1648227910,794977955,0,0,0,75.71037292480469,-14.715971946716309,-184.09915161132812,0.7199621796607971,-0.0007736682891845703,-0.6940128803253174,-5.96255631535314e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227911,294944642,0,0,0,75.64204406738281,-14.66491985321045,-184.0883026123047,0.7201324701309204,-0.0005576015100814402,-0.6938363909721375,-5.961145888022656e-08,-55.10114610385321,-5.036056549851423,40.06125242448442,0.003192796874524062,0.038095871397701875,-0.7009032924736678,-0.7122310889619992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227911,795116931,0,0,0,75.69468688964844,-14.70097827911377,-184.09295654296875,0.7200154066085815,-0.0007169843302108347,-0.6939576864242554,-5.958073145961862e-08,-55.10114610385321,-5.036056549851423,40.06125242448442,0.003192796874524062,0.038095871397701875,-0.7009032924736678,-0.7122310889619992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227912,294972522,0,0,0,75.65161895751953,-14.681334495544434,-184.0811004638672,0.7201043367385864,-0.000609874667134136,-0.6938654780387878,0.0,-54.99757784939723,-5.126257387603005,40.00764667478459,0.00306888400916,0.037813478224778596,-0.7008291924437938,-0.7123195328918881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227912,794960541,0,0,0,75.60682678222656,-14.675737380981445,-184.11489868164062,0.7201811075210571,-0.0006486773490905762,-0.6937857866287231,0.0,-54.99757784939723,-5.126257387603005,40.00764667478459,0.00306888400916,0.037813478224778596,-0.7008291924437938,-0.7123195328918881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227913,294956731,0,0,0,75.60714721679688,-14.650323867797852,-184.05538940429688,0.7201920747756958,-0.0005609989166259766,-0.6937744617462158,0.0,-55.00220178042963,-5.044713825661901,40.0660607772044,0.00316583633749562,0.03806850557112035,-0.7009034281906478,-0.7122325963578323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227913,794958452,0,0,0,75.659423828125,-14.760483741760254,-184.12693786621094,0.7200631499290466,-0.0009303690167143941,-0.6939079165458679,-5.957678439472147e-08,-55.00220178042963,-5.044713825661901,40.0660607772044,0.00316583633749562,0.03806850557112035,-0.7009034281906478,-0.7122325963578323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227914,294974424,0,0,0,75.63694763183594,-14.690982818603516,-183.99066162109375,0.7201189398765564,-0.0007124543190002441,-0.6938502192497253,5.961258153774907e-08,-54.979151369754646,-5.095068802170275,40.00919516677611,0.0031261441848726146,0.03787160402460682,-0.7008289996593382,-0.7123164283247145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227914,794948351,-54.979151369754646,-5.095068802170275,40.00919516677611,75.7550277709961,-14.743802070617676,-184.1925811767578,0.7199037671089172,-0.0008419156074523926,-0.6940733790397644,0.0,-55.046698540352196,-5.135569812739789,40.04313342809115,0.0029553585535794236,0.037883065107442604,-0.7009176518834771,-0.7122293756036436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227915,294960104,-54.979151369754646,-5.095068802170275,40.00919516677611,75.6585922241211,-14.717342376708984,-184.16746520996094,0.7200775146484375,-0.0008451937464997172,-0.6938930749893188,0.0,-54.998528230835035,-5.100608330186219,40.05363056062752,0.0030307581979138742,0.037978895447616234,-0.700926491486304,-0.7122151292385995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227915,795015341,-54.979151369754646,-5.095068802170275,40.00919516677611,75.60889434814453,-14.713558197021484,-184.04833984375,0.7201744914054871,-0.0007945895777083933,-0.6937925219535828,0.0,-55.03017562697033,-5.0296248132356425,40.07674639967367,0.0032010611570415515,0.03812355741724632,-0.7009124752792528,-0.7122206015447202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227916,294953004,-54.979151369754646,-5.095068802170275,40.00919516677611,75.72647094726562,-14.769952774047852,-184.1429901123047,0.7199620604515076,-0.0009462236776016653,-0.6940127015113831,-5.958514748272137e-08,-55.05019661500768,-5.073406746431033,40.08045670060425,0.003138408486074773,0.038074578040265705,-0.7009195913254034,-0.7122163136727331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227916,794952041,-54.979151369754646,-5.095068802170275,40.00919516677611,75.6163558959961,-14.715444564819336,-183.97592163085938,0.7201337814331055,-0.0008023381233215332,-0.6938347816467285,0.0,-55.05440384111728,-5.10004519327228,40.06385111188196,0.0030706676798438193,0.037945264940407175,-0.7008911514701185,-0.7122517355614153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227917,294955521,-54.979151369754646,-5.095068802170275,40.00919516677611,75.69747924804688,-14.69485855102539,-184.13067626953125,0.7200117111206055,-0.0007160305394791067,-0.6939615607261658,0.0,-55.03001693129997,-5.11573539011313,40.058485502365656,0.0030120019391035036,0.03789693700716007,-0.7008966784066699,-0.7122490464069574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227917,795029532,-54.979151369754646,-5.095068802170275,40.00919516677611,75.612060546875,-14.697351455688477,-184.039306640625,0.7201881408691406,-0.0007408857927657664,-0.693778395652771,0.0,-55.029665712665235,-5.108719149659862,40.045911273898874,0.003060557309281342,0.03792801894562414,-0.7008877668840118,-0.7122558251502185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227918,294956774,-54.979151369754646,-5.095068802170275,40.00919516677611,75.63290405273438,-14.718087196350098,-184.03709411621094,0.7200924158096313,-0.000855088175740093,-0.693877637386322,-5.961477711480256e-08,-55.05871186855154,-5.049124056010527,40.06330686621122,0.003182198866090502,0.03802225222070249,-0.7008734218378115,-0.7122644722753226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648227918,794942318,-54.979151369754646,-5.095068802170275,40.00919516677611,75.60334777832031,-14.659302711486816,-183.98245239257812,0.7201874256134033,-0.0006988047389313579,-0.6937792301177979,5.96069114067177e-08,-55.06956422241163,-5.043347302141427,40.07555457743375,0.0031694134444587574,0.038031053357150346,-0.7008837675812329,-0.7122537349045355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
