Timestamp sec,Timestamp nanosec,Entry_point x,Entry_point y,Entry_point z,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,J00,J01,J02,J03,J04,J05,J06,J10,J11,J12,J13,J14,J15,J16,J20,J21,J22,J23,J24,J25,J26,J30,J31,J32,J33,J34,J35,J36,J40,J41,J42,J43,J44,J45,J46,J50,J51,J52,J53,J54,J55,J56,J60,J61,J62,J63,J64,J65,J66,Control_x,Control_z
1650910224,861539833,0,0,0,-5.473487377166748,2.0233538150787354,-186.7657012939453,0.9994077682495117,-0.033883750438690186,-0.005996704567223787,2.7002519331631447e-08,0,0,0,0,0,0,0,-7.811491012573242,-23.346965789794922,-188.16822814941406,0.9999971389770508,0.0021021366119384766,0.0011580288410186768,-1.1292204504798065e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910224,961460737,0,0,0,-5.4432053565979,1.9100406169891357,-186.825439453125,0.9993805885314941,-0.03461015224456787,-0.006365299690514803,2.188508396727684e-08,0,0,0,0,0,0,0,-7.765052318572998,-23.450990676879883,-188.20648193359375,0.9999985694885254,0.0014957190724089742,0.000737696944270283,8.731161571517987e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910225,61664292,0,0,0,-5.489206314086914,2.043808698654175,-186.78704833984375,0.9994151592254639,-0.03367447853088379,-0.005960583221167326,-2.980520363848882e-08,-48.56518983139154,2.752552232675157,52.32093469908095,-0.6780565692257099,0.7348206962327809,0.01380112074702005,-0.0014709974939527376,-7.77893590927124,-23.385879516601562,-188.22206115722656,0.9999977350234985,0.0019577741622924805,0.0008364021778106689,9.48787004517726e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910225,161578982,0,0,0,-5.535625457763672,2.1050407886505127,-186.7616424560547,0.9994315505027771,-0.033248547464609146,-0.0055623953230679035,4.659261310102636e-10,-48.56518983139154,2.752552232675157,52.32093469908095,-0.6780565692257099,0.7348206962327809,0.01380112074702005,-0.0014709974939527376,-7.806250095367432,-23.300357818603516,-188.18905639648438,0.9999961853027344,0.002485871547833085,0.0011499824468046427,1.1408631372944456e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910225,261575305,0,0,0,-5.510788917541504,2.049427032470703,-186.80331420898438,0.9994163513183594,-0.033664461225271225,-0.005810766946524382,2.4213967719788343e-08,-48.56518983139154,2.752552232675157,52.32093469908095,-0.6780565692257099,0.7348206962327809,0.01380112074702005,-0.0014709974939527376,-7.779202461242676,-23.305967330932617,-188.20578002929688,0.999996542930603,0.0024347307626158,0.0009325445280410349,1.0593830701566276e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910225,361483223,0,0,0,-5.517964839935303,2.0656442642211914,-186.8080291748047,0.9994184970855713,-0.03360920771956444,-0.005759387277066708,3.727457897895192e-09,-48.56518983139154,2.752552232675157,52.32093469908095,-0.6780565692257099,0.7348206962327809,0.01380112074702005,-0.0014709974939527376,-7.78170919418335,-23.356578826904297,-188.1913604736328,0.9999973773956299,0.0020714998245239258,0.0009516776190139353,9.895214425625909e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910225,461524878,0,0,0,-5.550715923309326,2.1259865760803223,-186.77139282226562,0.9994320273399353,-0.033248309046030045,-0.0054909889586269855,-2.0020253899133422e-08,-48.56518983139154,2.752552232675157,52.32093469908095,-0.6780565692257099,0.7348206962327809,0.01380112074702005,-0.0014709974939527376,-7.762123107910156,-23.385404586791992,-188.18954467773438,0.9999978542327881,0.0018609168473631144,0.0008096100063994527,-2.048908420704265e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910225,561570200,0,0,0,-5.497639179229736,1.837598443031311,-186.88038635253906,0.9993595480918884,-0.03526026010513306,-0.0061147804372012615,2.7935740831708245e-08,-48.56518983139154,2.752552232675157,52.32093469908095,-0.6780565692257099,0.7348206962327809,0.01380112074702005,-0.0014709974939527376,-7.755610466003418,-23.43973731994629,-188.17828369140625,0.9999985694885254,0.001484871027059853,0.0007583201513625681,8.789369232431454e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910225,661563515,0,0,0,-5.592797756195068,2.198643684387207,-186.76162719726562,0.9994499087333679,-0.03275931254029274,-0.005157888401299715,-2.607682425548319e-08,-48.56518983139154,2.752552232675157,52.32093469908095,-0.6780565692257099,0.7348206962327809,0.01380112074702005,-0.0014709974939527376,-7.841951847076416,-23.320707321166992,-188.17849731445312,0.9999964237213135,0.0022836329881101847,0.00134962797164917,-1.8742934315696402e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650910225,761564523,0,0,0,-5.538889408111572,2.1795427799224854,-186.75148010253906,0.999445378780365,-0.03283924236893654,-0.00551948044449091,-2.0951826940063256e-08,-48.56518983139154,2.752552232675157,52.32093469908095,-0.6780565692257099,0.7348206962327809,0.01380112074702005,-0.0014709974939527376,-7.843174934387207,-23.311710357666016,-188.18289184570312,0.9999963045120239,0.00235593318939209,0.001344710704870522,1.1292214274760681e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
