Timestamp sec,Timestamp nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,AuroraTip sec,AuroraTip nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,AuroraBase sec,AuroraBase nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J03,J04,J05,J06,J10,J11,J12,J13,J14,J15,J16,J20,J21,J22,J23,J24,J25,J26,J30,J31,J32,J33,J34,J35,J36,J40,J41,J42,J43,J44,J45,J46,J50,J51,J52,J53,J54,J55,J56,J60,J61,J62,J63,J64,J65,J66,J sec,J nanosec,Control x,Control z,Control sec,Control nanosec
1652903897,332899491,0,0,0,0,0,-24.440284729003906,5.928732872009277,-176.35987854003906,0.9999510049819946,0.004994035232812166,-0.008542538620531559,-2.5146942306264464e-08,1652903897,319828229,0,0,0,0,0,0,0,0,0,-24.165531158447266,-24.382919311523438,-180.7818145751953,0.9999265670776367,0.002215326065197587,-0.01191264484077692,3.7246543627134088e-09,1652903897,320141886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903897,532959325,0,0,0,0,0,-24.415163040161133,6.0997443199157715,-176.27935791015625,0.999944806098938,0.006201507057994604,-0.00847146101295948,2.7008026037833588e-08,1652903897,518142484,-67.59365860932886,12.90337473462364,47.78941245283207,-0.70610455616335,0.7079218434848275,0.015776185702544687,-0.0037495287133302788,1652903897,366334937,-24.21798324584961,-24.25459861755371,-180.77688598632812,0.9999287128448486,0.003172993892803788,-0.011511296965181828,-1.8625959441465056e-08,1652903897,518622941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903897,732891395,0,0,0,0,0,-24.389379501342773,6.155856609344482,-176.24697875976562,0.9999418258666992,0.006589293945580721,-0.008540958166122437,-1.8627535069981604e-09,1652903897,717796284,-67.59365860932886,12.90337473462364,47.78941245283207,-0.70610455616335,0.7079218434848275,0.015776185702544687,-0.0037495287133302788,1652903897,366334937,-24.231365203857422,-24.252262115478516,-180.7803955078125,0.999929666519165,0.003183007473126054,-0.011419536545872688,-7.451104622191451e-09,1652903897,718219010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903897,932964928,0,0,0,0,0,-24.3970947265625,6.334972381591797,-176.16995239257812,0.9999337196350098,0.007944704033434391,-0.008328706957399845,-9.313843030156477e-10,1652903897,917031340,-67.59365860932886,12.90337473462364,47.78941245283207,-0.70610455616335,0.7079218434848275,0.015776185702544687,-0.0037495287133302788,1652903897,366334937,-24.185161590576172,-24.213010787963867,-180.7847900390625,0.9999260902404785,0.0034416320268064737,-0.011659921146929264,-1.8627828168860106e-09,1652903897,917549723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903898,132881986,0,0,0,0,0,-24.371885299682617,6.197940826416016,-176.2489013671875,0.9999375343322754,0.006985308136790991,-0.008716226555407047,2.6076842019051583e-08,1652903898,116086666,-67.59365860932886,12.90337473462364,47.78941245283207,-0.70610455616335,0.7079218434848275,0.015776185702544687,-0.0037495287133302788,1652903897,366334937,-24.15855598449707,-24.23297691345215,-180.78860473632812,0.9999241828918457,0.0033287410624325275,-0.01185304019600153,5.588359108799068e-09,1652903898,116421971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903898,332896742,0,0,0,0,0,-24.355085372924805,6.16999626159668,-176.28675842285156,0.9999371767044067,0.006826281547546387,-0.008890777826309204,1.3970716139510841e-08,1652903898,316646511,-67.59365860932886,12.90337473462364,47.78941245283207,-0.70610455616335,0.7079218434848275,0.015776185702544687,-0.0037495287133302788,1652903897,366334937,-24.18773651123047,-24.246538162231445,-180.78981018066406,0.999925971031189,0.0032192470971494913,-0.011728795245289803,-6.519740747279457e-09,1652903898,316963078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903898,532927482,0,0,0,0,0,-24.36387062072754,6.1183953285217285,-176.29312133789062,0.9999399185180664,0.0063960556872189045,-0.008897663094103336,0.0,1652903898,517408690,-67.48778142301047,12.990688874359506,47.5254256962145,-0.7074616620550095,0.7065605360417458,0.015780584001432976,-0.003768354383302534,1652903898,369683977,-24.201696395874023,-24.230222702026367,-180.7942657470703,0.9999263286590576,0.0033707618713378906,-0.011658460833132267,-1.490043999297086e-08,1652903898,517727773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903898,732924867,0,0,0,0,0,-24.351022720336914,6.188879013061523,-176.25804138183594,0.9999370574951172,0.006885589100420475,-0.00884789414703846,-1.3970717915867681e-08,1652903898,718083538,-67.48778142301047,12.990688874359506,47.5254256962145,-0.7074616620550095,0.7065605360417458,0.015780584001432976,-0.003768354383302534,1652903898,369683977,-24.19369888305664,-24.23997688293457,-180.799072265625,0.999925971031189,0.003293395508080721,-0.011707426980137825,1.2106270652623152e-08,1652903898,718398469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903898,933007126,0,0,0,0,0,-24.379270553588867,6.242521286010742,-176.22142028808594,0.9999371767044067,0.0072565083391964436,-0.008537054993212223,2.235314511267461e-08,1652903898,914343010,-67.48778142301047,12.990688874359506,47.5254256962145,-0.7074616620550095,0.7065605360417458,0.015780584001432976,-0.003768354383302534,1652903898,369683977,-24.211332321166992,-24.17249870300293,-180.77734375,0.9999270439147949,0.0037181973457336426,-0.011494576930999756,2.1421982410174678e-08,1652903898,914672642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903899,132919834,0,0,0,0,0,-24.42682456970215,6.178443908691406,-176.21910095214844,0.9999426603317261,0.0068087587133049965,-0.008257986046373844,-1.1176512160204766e-08,1652903899,116115355,-67.48778142301047,12.990688874359506,47.5254256962145,-0.7074616620550095,0.7065605360417458,0.015780584001432976,-0.003768354383302534,1652903898,369683977,-24.225830078125,-24.146833419799805,-180.76132202148438,0.9999274015426636,0.0038617849349975586,-0.011413604021072388,2.700849677239603e-08,1652903899,116471528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652903899,332988078,0,0,0,0,0,-24.373899459838867,6.108664035797119,-176.25271606445312,0.9999420642852783,0.006320835091173649,-0.008706123568117619,-1.2107895130952784e-08,1652903899,317306783,-67.48778142301047,12.990688874359506,47.5254256962145,-0.7074616620550095,0.7065605360417458,0.015780584001432976,-0.003768354383302534,1652903898,369683977,-24.19697380065918,-24.273944854736328,-180.77139282226562,0.9999275207519531,0.002992690075188875,-0.01166075561195612,-1.862598253410397e-08,1652903899,317632772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
