Timestamp sec,Timestamp nanosec,Entry_point x,Entry_point y,Entry_point z,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,J00,J01,J02,J03,J04,J05,J06,J10,J11,J12,J13,J14,J15,J16,J20,J21,J22,J23,J24,J25,J26,J30,J31,J32,J33,J34,J35,J36,J40,J41,J42,J43,J44,J45,J46,J50,J51,J52,J53,J54,J55,J56,J60,J61,J62,J63,J64,J65,J66,Control_x,Control_z
1650562052,777106229,0,0,0,-6.572695255279541,1.5854181051254272,-187.74229431152344,0.9999510049819946,-0.0083045968785882,-0.00538295553997159,-3.7254728191271624e-09,0,0,0,0,0,0,0,-8.179875373840332,-26.363344192504883,-191.46607971191406,0.9999643564224243,0.008109571412205696,0.002312422264367342,-7.218007080922462e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562052,977175060,0,0,0,-6.581079959869385,1.5895063877105713,-187.75633239746094,0.9999514818191528,-0.008291959762573242,-0.005316883325576782,2.8404897989275923e-08,-49.7463339859237,1.8125804255682283,52.55565544996992,-0.696789884696295,0.7171531695779234,0.013195066568933168,-0.001039441193596712,-8.181480407714844,-26.386430740356445,-191.48548889160156,0.9999659061431885,0.007920862175524235,0.0023377835750579834,2.0023207980557345e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562053,177117670,0,0,0,-6.59124231338501,1.5454176664352417,-187.72032165527344,0.9999494552612305,-0.008560479618608952,-0.00526580261066556,1.769602420154115e-08,-49.7463339859237,1.8125804255682283,52.55565544996992,-0.696789884696295,0.7171531695779234,0.013195066568933168,-0.001039441193596712,-8.225385665893555,-26.4334774017334,-191.4388427734375,0.9999680519104004,0.007543743122369051,0.0026450755540281534,-9.080685536844157e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562053,377153388,0,0,0,-6.706194877624512,1.8254941701889038,-187.6686248779297,0.9999687671661377,-0.006581247318536043,-0.004368186462670565,1.6298654870183782e-08,-49.7463339859237,1.8125804255682283,52.55565544996992,-0.696789884696295,0.7171531695779234,0.013195066568933168,-0.001039441193596712,-8.32512092590332,-26.286968231201172,-191.47146606445312,0.9999572038650513,0.008645773865282536,0.003282666439190507,-2.4213603566636266e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562053,577158387,0,0,0,-6.673144817352295,1.6383655071258545,-187.7079620361328,0.9999579191207886,-0.007853866554796696,-0.004724622238427401,2.8404715024521465e-08,-49.7463339859237,1.8125804255682283,52.55565544996992,-0.696789884696295,0.7171531695779234,0.013195066568933168,-0.001039441193596712,-8.253530502319336,-26.35888671875,-191.44969177246094,0.9999629259109497,0.008102417923510075,0.002902746433392167,9.779249410257762e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562053,777158233,0,0,0,-6.648834705352783,1.7125675678253174,-187.63978576660156,0.9999611377716064,-0.007398547139018774,-0.004776091314852238,1.3970381296246615e-08,-49.7463339859237,1.8125804255682283,52.55565544996992,-0.696789884696295,0.7171531695779234,0.013195066568933168,-0.001039441193596712,-8.267572402954102,-26.41788101196289,-191.42538452148438,0.9999662637710571,0.007638812530785799,0.0030141177121549845,-2.747403371472501e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562053,977156054,0,0,0,-6.611868858337402,1.641871690750122,-187.66778564453125,0.9999557733535767,-0.007917226292192936,-0.005075306631624699,-1.0710683007175703e-08,-49.775162571142005,1.8113785942353502,52.483362904866524,-0.6971594314471563,0.7167956806322929,0.013103001205200698,-0.0009499743229846981,-8.257084846496582,-26.37928581237793,-191.44351196289062,0.9999637603759766,0.008005857467651367,0.002898484468460083,-2.211880278935041e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562054,177145571,0,0,0,-6.626906394958496,1.4667819738388062,-187.7256622314453,0.9999449253082275,-0.009164930321276188,-0.005107402801513672,2.421572098398883e-08,-49.775162571142005,1.8113785942353502,52.483362904866524,-0.6971594314471563,0.7167956806322929,0.013103001205200698,-0.0009499743229846981,-8.223254203796387,-26.402963638305664,-191.426025390625,0.9999657869338989,0.007815243676304817,0.0026773218996822834,-2.7940632030265533e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562054,377138885,0,0,0,-6.6346940994262695,1.6574604511260986,-187.6818084716797,0.9999572038650513,-0.007851184345781803,-0.00489002512767911,2.4679286170226078e-08,-49.775162571142005,1.8113785942353502,52.483362904866524,-0.6971594314471563,0.7167956806322929,0.013103001205200698,-0.0009499743229846981,-8.249046325683594,-26.354942321777344,-191.4474639892578,0.9999631643295288,0.008091927506029606,0.002842069137841463,7.915623712051456e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650562054,577163355,0,0,0,-6.626560688018799,1.5479767322540283,-187.74954223632812,0.9999505281448364,-0.008533716201782227,-0.00510790990665555,2.2351027695322045e-08,-49.775162571142005,1.8113785942353502,52.483362904866524,-0.6971594314471563,0.7167956806322929,0.013103001205200698,-0.0009499743229846981,-8.168961524963379,-26.450902938842773,-191.4565887451172,0.999969482421875,0.007446229923516512,0.0023605229798704386,-1.7927597184552724e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
